transaction_id,customer_id,timestamp,amount,currency,payee_id,channel,status,merchant_location
T300109,U1005,2026-01-07T09:08:00,-499,AUD,P2002,osko,pending,Melbourne
T300110,U1005,2026-01-03T22:39:00,-5200,AUD,P2006,direct_debit,posted,Online
T300111,U1005,2026-01-16T05:36:00,499,AUD,P2007,card_present,reversed,Online
T300112,U1005,2026-01-12T03:09:00,-43.2,AUD,P2008,direct_debit,posted,Melbourne
T300113,U1005,2026-01-11T03:24:00,1800,AUD,P2020,osko,pending,Perth
T300114,U1005,2026-01-14T12:42:00,120,AUD,P2012,osko,reversed,Sydney
T300115,U1005,2026-01-20T15:29:00,12.5,AUD,P2008,osko,reversed,Sydney
T300116,U1005,2026-01-04T02:08:00,-950,AUD,P2012,osko,pending,Melbourne
T300117,U1005,2026-01-02T20:08:00,950,AUD,P2003,direct_debit,pending,Online
T300118,U1005,2026-01-17T12:41:00,25,AUD,P2005,card_present,posted,Online
T300119,U1005,2026-01-07T04:56:00,24000,AUD,P2016,bank_transfer,posted,Sydney
T300120,U1005,2026-01-20T08:10:00,25,AUD,P2011,bp,pending,Perth
T300121,U1005,2026-01-17T15:13:00,43.2,AUD,P2019,bank_transfer,posted,Brisbane
T300122,U1005,2026-01-07T05:25:00,245,AUD,P2006,direct_debit,pending,Brisbane
T300123,U1005,2026-01-09T03:49:00,499,AUD,P2017,card_present,pending,Perth
T300124,U1005,2026-01-09T17:40:00,1800,AUD,P2013,direct_debit,pending,Brisbane
T300125,U1005,2026-01-19T04:23:00,499,AUD,P2011,card_present,reversed,Sydney
T300126,U1006,2026-01-10T16:16:00,43.2,AUD,P2010,direct_debit,pending,Melbourne
T300127,U1006,2026-01-08T04:18:00,24000,AUD,P2020,direct_debit,reversed,Perth
T300128,U1006,2026-01-02T04:31:00,1800,AUD,P2008,bp,posted,Melbourne
T300129,U1006,2026-01-19T11:19:00,12.5,AUD,P2004,bp,pending,Online
T300130,U1006,2026-01-19T09:37:00,-78.9,AUD,P2005,card_not_present,pending,Online
T300131,U1006,2026-01-05T00:59:00,950,AUD,P2008,direct_debit,posted,Perth
T300132,U1006,2026-01-21T04:55:00,25,AUD,P2009,osko,pending,Melbourne
T300133,U1006,2026-01-20T20:37:00,12.5,AUD,P2015,bp,reversed,Sydney
T300134,U1006,2026-01-02T01:34:00,43.2,AUD,P2001,osko,posted,Sydney
T300135,U1006,2026-01-04T00:39:00,43.2,AUD,P2018,direct_debit,posted,Sydney
T300136,U1006,2026-01-17T19:41:00,499,AUD,P2017,direct_debit,reversed,Online
T300137,U1006,2026-01-03T09:40:00,43.2,AUD,P2002,direct_debit,reversed,Online
T300138,U1006,2026-01-14T23:58:00,-12.5,AUD,P2015,card_present,reversed,Sydney
T300139,U1006,2026-01-09T07:41:00,78.9,AUD,P2002,card_present,pending,Brisbane
T300140,U1006,2026-01-09T20:35:00,24000,AUD,P2014,direct_debit,pending,Brisbane
T300141,U1006,2026-01-03T16:00:00,9800,AUD,P2006,bank_transfer,posted,Sydney
T300142,U1006,2026-01-07T12:21:00,43.2,AUD,P2020,card_not_present,reversed,Online
T300143,U1006,2026-01-17T22:00:00,-950,AUD,P2001,osko,posted,Online
T300144,U1006,2026-01-13T19:37:00,120,AUD,P2003,bp,posted,Sydney
T300145,U1006,2026-01-04T03:39:00,12.5,AUD,P2006,bank_transfer,posted,Melbourne
T300146,U1006,2026-01-05T22:41:00,12.5,AUD,P2002,direct_debit,posted,Melbourne
T300147,U1006,2026-01-07T17:57:00,25,AUD,P2003,direct_debit,reversed,Melbourne
T300148,U1006,2026-01-07T03:02:00,78.9,AUD,P2002,direct_debit,posted,Brisbane
T300149,U1006,2026-01-05T03:50:00,950,AUD,P2007,bank_transfer,pending,Brisbane
T300150,U1006,2026-01-01T11:16:00,499,AUD,P2010,card_present,pending,Brisbane
T300151,U1007,2026-01-10T19:47:00,-5200,AUD,P2001,osko,posted,Perth
T300152,U1007,2026-01-12T15:45:00,1800,AUD,P2002,bp,posted,Melbourne
T300153,U1007,2026-01-06T13:00:00,5200,AUD,P2017,card_not_present,pending,Melbourne
T300154,U1007,2026-01-16T03:31:00,12.5,AUD,P2006,osko,pending,Online
T300155,U1007,2026-01-10T06:44:00,120,AUD,P2008,osko,posted,Melbourne
T300156,U1007,2026-01-16T22:35:00,9800,AUD,P2004,direct_debit,pending,Brisbane
T300157,U1007,2026-01-13T23:05:00,-25,AUD,P2014,direct_debit,posted,Brisbane
T300158,U1007,2026-01-09T13:57:00,78.9,AUD,P2018,bp,posted,Perth
T300159,U1007,2026-01-15T04:34:00,9800,AUD,P2020,direct_debit,posted,Brisbane
T300160,U1007,2026-01-17T04:55:00,5200,AUD,P2015,direct_debit,pending,Sydney
T300161,U1007,2026-01-09T18:14:00,-950,AUD,P2005,bank_transfer,reversed,Sydney
T300162,U1007,2026-01-09T09:48:00,1800,AUD,P2020,card_not_present,posted,Sydney
T300163,U1007,2026-01-20T16:22:00,24000,AUD,P2006,card_not_present,pending,Sydney
T300164,U1007,2026-01-06T21:06:00,120,AUD,P2007,osko,posted,Sydney
T300165,U1007,2026-01-14T08:12:00,120,AUD,P2004,direct_debit,posted,Brisbane
T300166,U1007,2026-01-15T01:00:00,-78.9,AUD,P2013,osko,posted,Online
T300167,U1007,2026-01-15T00:09:00,9800,AUD,P2009,bp,reversed,Melbourne
T300168,U1007,2026-01-14T22:36:00,24000,AUD,P2019,direct_debit,reversed,Sydney
T300169,U1007,2026-01-06T20:07:00,9800,AUD,P2015,osko,pending,Brisbane
T300170,U1007,2026-01-14T07:50:00,9800,AUD,P2013,direct_debit,posted,Brisbane
T300171,U1007,2026-01-15T00:39:00,-499,AUD,P2014,bp,posted,Brisbane
T300172,U1007,2026-01-16T03:02:00,-12.5,AUD,P2009,bp,posted,Sydney
T300173,U1007,2026-01-17T11:06:00,24000,AUD,P2019,osko,posted,Perth
T300174,U1007,2026-01-21T11:33:00,1800,AUD,P2011,osko,reversed,Sydney
T300175,U1007,2026-01-13T16:48:00,9800,AUD,P2004,direct_debit,pending,Melbourne
T300176,U1008,2026-01-13T12:03:00,120,AUD,P2001,card_present,reversed,Perth
T300177,U1008,2026-01-19T08:06:00,9800,AUD,P2008,bank_transfer,reversed,Online
T300178,U1008,2026-01-15T06:10:00,-78.9,AUD,P2005,card_present,posted,Perth
T300179,U1008,2026-01-05T11:42:00,9800,AUD,P2014,osko,pending,Online
T300180,U1008,2026-01-16T11:50:00,9800,AUD,P2008,bank_transfer,reversed,Brisbane
T300181,U1008,2026-01-16T00:51:00,499,AUD,P2009,bank_transfer,posted,Brisbane
T300182,U1008,2026-01-16T13:39:00,-245,AUD,P2003,direct_debit,pending,Sydney
T300183,U1008,2026-01-02T02:52:00,-120,AUD,P2019,bank_transfer,posted,Online
T300184,U1008,2026-01-01T06:04:00,245,AUD,P2010,bank_transfer,posted,Online
T300185,U1008,2026-01-06T14:22:00,43.2,AUD,P2005,card_not_present,reversed,Online
T300186,U1008,2026-01-18T20:53:00,43.2,AUD,P2010,card_not_present,reversed,Sydney
T300187,U1008,2026-01-15T21:56:00,1800,AUD,P2004,bp,posted,Brisbane
T300188,U1008,2026-01-05T15:31:00,499,AUD,P2018,card_present,reversed,Perth
T300189,U1008,2026-01-08T15:10:00,-43.2,AUD,P2018,bp,posted,Sydney
T300190,U1008,2026-01-19T15:42:00,-245,AUD,P2010,osko,pending,Perth
T300191,U1008,2026-01-06T20:23:00,499,AUD,P2001,card_present,posted,Brisbane
T300192,U1008,2026-01-16T04:02:00,-25,AUD,P2007,direct_debit,reversed,Sydney
T300193,U1008,2026-01-12T10:30:00,245,AUD,P2017,bp,posted,Brisbane
T300194,U1008,2026-01-14T08:35:00,499,AUD,P2002,bank_transfer,pending,Brisbane
T300195,U1008,2026-01-11T16:17:00,-950,AUD,P2017,bank_transfer,posted,Perth
T300196,U1008,2026-01-07T10:45:00,25,AUD,P2010,card_not_present,posted,Melbourne
T300197,U1008,2026-01-18T18:03:00,-499,AUD,P2013,bank_transfer,posted,Melbourne
T300198,U1008,2026-01-16T19:49:00,12.5,AUD,P2002,bp,reversed,Online
T300199,U1008,2026-01-07T01:42:00,43.2,AUD,P2015,direct_debit,posted,Melbourne
T300200,U1008,2026-01-02T13:49:00,9800,AUD,P2004,direct_debit,posted,Brisbane
T300201,U1009,2026-01-18T22:16:00,43.2,AUD,P2010,card_not_present,reversed,Melbourne
T300202,U1009,2026-01-14T18:41:00,245,AUD,P2019,card_present,reversed,Online
T300203,U1009,2026-01-04T13:36:00,1800,AUD,P2013,osko,posted,Melbourne
T300204,U1009,2026-01-20T18:42:00,-9800,AUD,P2005,osko,reversed,Online
T300205,U1009,2026-01-21T15:13:00,25,AUD,P2005,direct_debit,posted,Perth
T300206,U1009,2026-01-04T02:13:00,12.5,AUD,P2004,card_not_present,reversed,Melbourne
T300207,U1009,2026-01-15T23:47:00,120,AUD,P2006,card_present,pending,Sydney
T300208,U1009,2026-01-10T20:35:00,24000,AUD,P2016,osko,pending,Melbourne
T300209,U1009,2026-01-01T01:00:00,24000,AUD,P2020,card_present,reversed,Brisbane
T300210,U1009,2026-01-16T19:03:00,120,AUD,P2011,bank_transfer,reversed,Perth
T300211,U1009,2026-01-05T03:23:00,9800,AUD,P2006,direct_debit,reversed,Perth
T300212,U1009,2026-01-09T18:21:00,-499,AUD,P2010,bank_transfer,posted,Online
T300213,U1009,2026-01-20T23:00:00,9800,AUD,P2005,bp,pending,Online
T300214,U1009,2026-01-13T12:43:00,499,AUD,P2013,bp,posted,Perth
T300215,U1009,2026-01-11T08:17:00,120,AUD,P2014,card_not_present,posted,Brisbane
T300216,U1009,2026-01-09T17:43:00,43.2,AUD,P2016,bank_transfer,posted,Online
T300217,U1009,2026-01-13T06:50:00,-1800,AUD,P2008,bank_transfer,posted,Perth
T300218,U1009,2026-01-09T18:48:00,950,AUD,P2001,osko,reversed,Online
T300219,U1009,2026-01-03T07:25:00,25,AUD,P2019,bp,pending,Online
T300220,U1009,2026-01-17T18:12:00,-245,AUD,P2007,card_not_present,posted,Melbourne
T300221,U1009,2026-01-12T18:36:00,43.2,AUD,P2012,osko,posted,Sydney
T300222,U1009,2026-01-12T03:23:00,-12.5,AUD,P2015,card_present,posted,Brisbane
T300223,U1009,2026-01-12T08:33:00,5200,AUD,P2020,card_present,posted,Melbourne
T300224,U1009,2026-01-19T18:13:00,-78.9,AUD,P2009,bank_transfer,reversed,Melbourne
T300225,U1009,2026-01-09T01:21:00,950,AUD,P2007,card_not_present,reversed,Melbourne
T300226,U1010,2026-01-02T17:23:00,12.5,AUD,P2015,osko,posted,Online
T300227,U1010,2026-01-04T22:05:00,-9800,AUD,P2009,bank_transfer,posted,Melbourne
T300228,U1010,2026-01-06T14:54:00,-9800,AUD,P2006,bank_transfer,posted,Sydney
T300229,U1010,2026-01-09T11:03:00,43.2,AUD,P2018,card_present,posted,Brisbane
T300230,U1010,2026-01-02T03:09:00,-1800,AUD,P2011,card_present,posted,Brisbane
T300231,U1010,2026-01-21T03:30:00,-5200,AUD,P2011,bank_transfer,pending,Perth
T300232,U1010,2026-01-16T12:10:00,25,AUD,P2015,card_not_present,posted,Melbourne
T300233,U1010,2026-01-02T05:59:00,950,AUD,P2008,card_present,pending,Sydney
T300234,U1010,2026-01-13T00:40:00,950,AUD,P2003,osko,pending,Brisbane
T300235,U1010,2026-01-04T20:23:00,-78.9,AUD,P2005,bank_transfer,posted,Melbourne
T300236,U1010,2026-01-18T04:28:00,-43.2,AUD,P2005,bank_transfer,reversed,Perth
T300237,U1010,2026-01-01T08:36:00,78.9,AUD,P2010,bank_transfer,posted,Brisbane
T300238,U1010,2026-01-11T14:57:00,950,AUD,P2016,card_present,posted,Online
T300239,U1010,2026-01-18T15:53:00,12.5,AUD,P2010,card_present,pending,Sydney
T300240,U1010,2026-01-09T07:59:00,-245,AUD,P2008,card_present,reversed,Brisbane
T300241,U1010,2026-01-02T23:18:00,499,AUD,P2005,direct_debit,posted,Perth
T300242,U1010,2026-01-17T04:28:00,1800,AUD,P2001,bp,pending,Sydney
T300243,U1010,2026-01-02T13:13:00,-245,AUD,P2009,bp,posted,Sydney
T300244,U1010,2026-01-06T06:38:00,43.2,AUD,P2003,card_present,reversed,Brisbane
T300245,U1010,2026-01-05T19:42:00,43.2,AUD,P2007,bp,pending,Sydney
T300246,U1010,2026-01-17T13:53:00,12.5,AUD,P2002,bp,pending,Brisbane
T300247,U1010,2026-01-03T00:26:00,-120,AUD,P2016,card_not_present,pending,Sydney
T300248,U1010,2026-01-02T05:44:00,43.2,AUD,P2012,bp,posted,Brisbane
T300249,U1010,2026-01-17T02:07:00,-1800,AUD,P2012,direct_debit,posted,Brisbane
T300250,U1010,2026-01-19T01:18:00,-24000,AUD,P2004,direct_debit,reversed,Perth
T300251,U1007,2026-01-04T16:51:00,15000.0,AUD,P2001,card_not_present,posted,Online
T300252,U1003,2026-01-08T09:14:00,120.0,AUD,P2010,card_not_present,posted,Online
T300253,U1003,2026-01-09T12:16:00,120.0,AUD,P2004,card_not_present,posted,Online
T300254,U1006,2026-01-10T19:47:00,120.0,AUD,P2004,bank_transfer,pending,Online
T300255,U1010,2026-01-11T16:15:00,980.0,AUD,P2018,card_not_present,pending,Online
T300256,U1006,2026-01-12T21:06:00,42000.0,AUD,P2014,card_not_present,posted,Online
T300257,U1004,2026-01-13T09:29:00,350.0,AUD,P2011,osko,pending,Online
T300258,U1009,2026-01-14T09:25:00,42000.0,AUD,P2004,bank_transfer,posted,Online
T300259,U1002,2026-01-15T18:36:00,120.0,AUD,P2006,osko,pending,Online
T300260,U1006,2026-01-16T18:24:00,350.0,AUD,P2001,card_not_present,pending,Online
T300261,U1002,2026-01-17T08:49:00,7800.0,AUD,P2015,osko,pending,Unknown
T300262,U1010,2026-01-18T21:21:00,42000.0,AUD,P2010,card_not_present,pending,Unknown
T300263,U1008,2026-01-19T21:35:00,120.0,AUD,P2015,bank_transfer,pending,Online
T300264,U1008,2026-01-20T11:55:00,2500.0,AUD,P2014,osko,posted,Unknown
T300265,U1008,2026-01-01T16:11:00,7800.0,AUD,P2004,bank_transfer,pending,Unknown
T300266,U1001,2026-01-02T16:42:00,980.0,AUD,P2009,bank_transfer,posted,Online
T300267,U1007,2026-01-03T14:49:00,15000.0,AUD,P2017,osko,posted,Online
T300268,U1007,2026-01-04T21:41:00,2500.0,AUD,P2002,card_not_present,pending,Unknown
T300269,U1005,2026-01-05T17:06:00,15000.0,AUD,P2002,osko,posted,Online
T300270,U1003,2026-01-06T11:02:00,120.0,AUD,P2017,osko,posted,Unknown
T300271,U1010,2026-01-09T18:10:00,7800.0,AUD,P2014,bank_transfer,posted,Unknown
T300272,U1001,2026-01-10T15:37:00,42000.0,AUD,P2003,card_not_present,posted,Unknown
T300273,U1007,2026-01-11T16:08:00,120.0,AUD,P2004,osko,pending,Unknown
